X	Y
491532.786929596 	2171541.055204420 
491532.828872555 	2171541.068463220 
491532.849853471 	2171541.095010640 
491532.870815515 	2171541.081722030 
491532.881299158 	2171541.080610510 
491532.797438925 	2171541.108314150 
491532.724056571 	2171541.122734150 
491532.745017042 	2171541.106125870 
491532.839376121 	2171541.109400840 
491532.860343406 	2171541.107177790 
491532.818395204 	2171541.082853420 
491532.765968601 	2171541.070706140 
491532.828863643 	2171541.049651770 
491532.849843510 	2171541.073986070 
491532.765992716 	2171541.121607720 
491532.640192146 	2171541.141585340 
491532.640176943 	2171541.109495210 
491532.745024905 	2171541.122724210 
491532.870834912 	2171541.122664610 
491532.881313312 	2171541.110487530 
491532.786962623 	2171541.124917460 
491532.692606690 	2171541.128281830 
491532.724044514 	2171541.097283350 
491532.828879894 	2171541.083955010 
491532.807909462 	2171541.079538720 
491532.745006033 	2171541.082888190 
491532.797447837 	2171541.127125600 
491532.849862907 	2171541.114928650 
491532.828901388 	2171541.129323810 
491532.797455176 	2171541.142617390 
491532.745024381 	2171541.121617660 
491532.755490200 	2171541.082883220 
491532.807916277 	2171541.093923950 
491532.839397615 	2171541.154769640 
491532.807940392 	2171541.144825540 
491532.765992716 	2171541.121607720 
491532.734544408 	2171541.130475070 
491532.755511169 	2171541.127145470 
491532.818411456 	2171541.117156660 
491532.912775251 	2171541.130390640 
491532.860380102 	2171541.184636730 
491532.734548602 	2171541.139327520 
491532.692574187 	2171541.059675340 
491532.765969650 	2171541.072919250 
491532.839381364 	2171541.120466400 
491532.870851687 	2171541.158074410 
491532.839401809 	2171541.163622090 
491532.776480553 	2171541.129348650 
491532.755490200 	2171541.082883220 
491532.776452244 	2171541.069594610 
491532.881319603 	2171541.123766200 
491532.881319603 	2171541.123766200 
491532.839390276 	2171541.139277850 
491532.755499636 	2171541.102801230 
491532.745010751 	2171541.092847190 
491532.807919947 	2171541.101669840 
491532.839379791 	2171541.117146730 
491532.807933577 	2171541.130440300 
491532.755501209 	2171541.106120900 
491532.755491772 	2171541.086202890 
491532.797436304 	2171541.102781370 
491532.818426134 	2171541.148140240 
491532.724057096 	2171541.123840700 
491532.724036126 	2171541.079578450 
491532.786962623 	2171541.124917460 
491532.870882617 	2171541.223361230 
491532.870869511 	2171541.195697320 
491532.839383985 	2171541.125999180 
491532.828901912 	2171541.130430370 
491532.849861334 	2171541.111608980 
491532.849869722 	2171541.129313880 
491532.849879158 	2171541.149231890 
491532.786982544 	2171541.166966600 
491532.713581316 	2171541.141550570 
491532.724045562 	2171541.099496470 
491532.755470279 	2171541.040834090 
491532.818375284 	2171541.040804280 
491532.891792238 	2171541.099417000 
491532.912760572 	2171541.099407060 
491532.870794546 	2171541.037459780 
491532.765974368 	2171541.082878250 
491532.734563281 	2171541.170311100 
491532.776492610 	2171541.154799440 
491532.849858189 	2171541.104969640 
491532.839377170 	2171541.111613950 
491532.839410721 	2171541.182433550 
491532.839410721 	2171541.182433550 
491532.923246836 	2171541.103828320 
491532.891779133 	2171541.071753090 
491532.797434207 	2171541.098355140 
491532.807927810 	2171541.118268190 
491532.849863955 	2171541.117141760 
491532.839386082 	2171541.130425400 
491532.912794647 	2171541.171333220 
491532.828889855 	2171541.104979580 
491532.807906317 	2171541.072899380 
491532.849825162 	2171541.035256600 
491532.881284480 	2171541.049626930 
491532.860333445 	2171541.086153220 
491532.776457487 	2171541.080660180 
491532.724000478 	2171541.004332630 
491532.734478354 	2171540.991048990 
