X,Y
493295.671458694,2168656.943435200
493295.566569889,2168656.862696130
493295.598025793,2168656.858258130
493295.755319418,2168656.873690950
493295.849694183,2168656.879188370
493295.828728690,2168656.895794510
493295.692413824,2168656.899165230
493295.629484187,2168656.860459460
493295.692402218,2168656.868181760
493295.828747342,2168656.945589380
493295.902154129,2168656.961053630
493295.849697084,2168656.886934240
493295.776290713,2168656.872576540
493295.713380974,2168656.886985300
493295.723881335,2168656.925710710
493295.744854703,2168656.930129070
493295.776308536,2168656.920158310
493295.744850973,2168656.920170090
493295.713400870,2168656.940099830
493295.681948694,2168656.954496800
493295.681935015,2168656.917980560
493295.681922166,2168656.883677420
493295.660943823,2168656.865980430
493295.639985793,2168656.902504530
493295.629516933,2168656.947877120
493295.692425430,2168656.930148710
493295.776293614,2168656.880322410
493295.776294029,2168656.881428970
493295.692427917,2168656.936788030
493295.639991596,2168656.917996270
493295.713364809,2168656.843829740
493295.891605272,2168656.792861540
493295.881133096,2168656.829381710
493295.776290713,2168656.872576540
493295.713378487,2168656.880345980
493295.723860610,2168656.870383080
493295.786776153,2168656.871466060
493295.797274029,2168656.903552160
493295.755339314,2168656.926805480
493295.692407607,2168656.882566940
493295.639965896,2168656.849390000
493295.692396001,2168656.851583470
493295.776293614,2168656.880322410
493295.755340143,2168656.929018590
493295.671461596,2168656.951181070
493295.671436311,2168656.883681350
493295.702890557,2168656.874817140
493295.755352578,2168656.962215170
493295.776339623,2168657.003149760
493295.723888796,2168656.945628660
493295.702881853,2168656.851579540
493295.786759159,2168656.826097400
493295.723855221,2168656.855997890
493295.681901441,2168656.828349790
493295.692398488,2168656.858222780
493295.734357656,2168656.900256070
493295.744838538,2168656.886973510
493295.702880195,2168656.847153330
493295.671418902,2168656.837206140
493295.671434653,2168656.879255140
493295.723875946,2168656.911325530
493295.765814806,2168656.899137740
493295.713378901,2168656.881452530
493295.713378901,2168656.881452530
493295.755303253,2168656.830535400
493295.786763718,2168656.838269480
493295.765816879,2168656.904670500
493295.702919158,2168656.951169280
493295.692416726,2168656.906911100
493295.702869003,2168656.817276400
493295.702857812,2168656.787399480
493295.723851905,2168656.847145470
493295.744857604,2168656.937874940
493295.723879262,2168656.920177950
493295.660947139,2168656.874832860
493295.608529057,2168656.904729420
493295.639988694,2168656.910250400
493295.776291127,2168656.873683100
493295.807747863,2168656.871458210
493295.734353511,2168656.889190550
493295.639988694,2168656.910250400
493295.660945896,2168656.871513200
493295.765795325,2168656.847129760
493295.807747034,2168656.869245100
493295.818231645,2168656.865921520
493295.755308641,2168656.844920580
493295.660922269,2168656.808439690
493295.650436000,2168656.807337070
493295.713363980,2168656.841616640
493295.734361801,2168656.911321600
493295.744865480,2168656.958899440
493295.723880920,2168656.924604160
493295.692401389,2168656.865968650
493295.681916777,2168656.869292240
493295.702905065,2168656.913546490
493295.744867138,2168656.963325650
493295.744872526,2168656.977710840
493295.723878848,2168656.919071400
493295.692394343,2168656.847157260
493295.713357348,2168656.823911790
493295.734337760,2168656.847141540
493295.713391336,2168656.914649110
493295.681953253,2168656.966668880
493295.681952839,2168656.965562320
493295.723878433,2168656.917964840
493295.797258278,2168656.861503160
493295.828713354,2168656.854852060
493295.786787759,2168656.902449540
493295.755350920,2168656.957788960
493295.734361386,2168656.910215050
493295.692395586,2168656.850476910
493295.692391441,2168656.839411390
493295.681927554,2168656.898062610
493295.681944549,2168656.943431270
493295.692416311,2168656.905804550
493295.702875635,2168656.834981250
493295.702867345,2168656.812850190
493295.671423047,2168656.848271660
493295.713376415,2168656.874813220
493295.776269988,2168656.817248910
493295.744805792,2168656.799555850
493295.671418073,2168656.834993030
493295.681910145,2168656.851587390
493295.755320247,2168656.875904060
493295.839215376,2168656.898003690
493295.839214133,2168656.894684030
493295.744835222,2168656.878121090
493295.692395586,2168656.850476910
493295.723844030,2168656.826120970
493295.807739988,2168656.850433710
493295.891641747,2168656.890238180
493295.902128016,2168656.891340810
493295.860173820,2168656.862586150
493295.860173820,2168656.862586150
493295.765781232,2168656.809506970
493295.765781232,2168656.809506970
493295.849685479,2168656.855950760
493295.828707965,2168656.840466880
493295.755308227,2168656.843814030
493295.734329055,2168656.823903940
493295.744804134,2168656.795129640
493295.776257139,2168656.782945780
493295.818226671,2168656.852642880
493295.860192058,2168656.911274470
493295.744835636,2168656.879227640
493295.639954705,2168656.819513080
493295.692393514,2168656.844944150
493295.776305220,2168656.911305890
493295.818247396,2168656.907970520
493295.807745376,2168656.864818890
493295.786754185,2168656.812818770
493295.765777087,2168656.798441440
493295.786758744,2168656.824990850
493295.786775324,2168656.869252960
493295.765806931,2168656.878113240
493295.765787035,2168656.824998710
493295.786745480,2168656.789581160
493295.807726310,2168656.813917470
493295.849681334,2168656.844885230
493295.807737915,2168656.844900940
493295.723846931,2168656.833866840
493295.671418902,2168656.837206140
493295.671428435,2168656.862656850
493295.723854807,2168656.854891340
493295.776277034,2168656.836060310
493295.734337760,2168656.847141540
493295.660944238,2168656.867086990
493295.639977088,2168656.879266920
493295.639979990,2168656.887012790
493295.702890143,2168656.873710590
493295.702890143,2168656.873710590
493295.702890143,2168656.873710590
493295.660952113,2168656.888111490
493295.692389783,2168656.834985180
493295.849663096,2168656.796196910
493295.870652217,2168656.842664270
493295.818242008,2168656.893585340
493295.807763200,2168656.912400660
493295.828722887,2168656.880302780
493295.818226671,2168656.852642880
493295.723860610,2168656.870383080
493295.618999990,2168656.864889590
493295.629482529,2168656.856033240
493295.723859781,2168656.868169970
493295.786772422,2168656.861507090
493295.734344806,2168656.865952940
493295.660942994,2168656.863767330
493295.702864029,2168656.803997770
493295.692374447,2168656.794042730
493295.608507917,2168656.848295230
493295.535136777,2168656.927994520
493295.514168801,2168656.937961350
493295.577074396,2168656.912487070
493295.681923824,2168656.888103630
493295.681923824,2168656.888103630
493295.681935844,2168656.920193660
493295.587554445,2168656.896991410
493295.587554445,2168656.896991410
493295.608502114,2168656.832803490
493295.702895946,2168656.889202330
493295.734351438,2168656.883657780
493295.723837398,2168656.808416130
493295.723824963,2168656.775219540
493295.692387296,2168656.828345860
493295.671439212,2168656.891427220
493295.681924652,2168656.890316740
493295.755307812,2168656.842707480
493295.786760817,2168656.830523610
493295.723843201,2168656.823907860
493295.723859366,2168656.867063420
493295.755327294,2168656.894715460
493295.776277449,2168656.837166860
493295.765782890,2168656.813933180
493295.734334029,2168656.837182570
493295.692398902,2168656.859329330
493295.692405120,2168656.875927630
493295.734344806,2168656.865952940
493295.807731698,2168656.828302650
493295.797255791,2168656.854863850
493295.744838952,2168656.888080070
493295.713376000,2168656.873706660
493295.702881438,2168656.850472990
493295.702869832,2168656.819489510
493295.713349887,2168656.803993840
493295.702880195,2168656.847153330
493295.671438798,2168656.890320670
493295.619016985,2168656.910258250
493295.650457969,2168656.865984360
493295.692393099,2168656.843837600
493295.702891386,2168656.877030250
493295.692439523,2168656.967771500
493295.692453202,2168657.004287740
493295.681940818,2168656.933472290
493295.702894702,2168656.885882670
493295.755338071,2168656.923485820
493295.765849209,2168656.990981610
493295.723891283,2168656.952267980
493295.723891283,2168656.952267980
493295.765774600,2168656.791802130
493295.723873045,2168656.903579660
493295.660969522,2168656.934586700
493295.608517036,2168656.872639390
493295.629472995,2168656.830582530
493295.692408436,2168656.884780050
493295.734344806,2168656.865952940
493295.755308227,2168656.843814030
493295.723846931,2168656.833866840
493295.660932632,2168656.836103510
493295.723857294,2168656.861530660
493295.734354340,2168656.891403650
493295.734350195,2168656.880338130
493295.692389783,2168656.834985180
493295.681889834,2168656.797366310
493295.702885998,2168656.862645060
493295.744845999,2168656.906891460
493295.765816879,2168656.904670500
493295.765812734,2168656.893604970
493295.765804444,2168656.871473920
493295.744835222,2168656.878121090
493295.776288640,2168656.867043780
493295.797261594,2168656.870355580
493295.744844341,2168656.902465250
493295.755334755,2168656.914633400
493295.828739881,2168656.925671440
493295.881168742,2168656.924545240
493295.828740296,2168656.926777990
493295.713383875,2168656.894731170
493295.618992115,2168656.843865090
493295.618987555,2168656.831693010
493295.692412581,2168656.895845570
493295.744864236,2168656.955579780
493295.723890454,2168656.950054870
493295.692408436,2168656.884780050
493295.713352788,2168656.811739710
493295.734314133,2168656.784068040
493295.797244600,2168656.824986920
493295.839212060,2168656.889151270
493295.818249054,2168656.912396730
493295.765809003,2168656.883646000
493295.702876464,2168656.837194350
493295.681886104,2168656.787407340
493295.723827450,2168656.781858860
493295.797254133,2168656.850437630
493295.797264081,2168656.876994900
493295.681902269,2168656.830562890
493295.639938954,2168656.777464070
493295.713346985,2168656.796247970
493295.818234132,2168656.872560830
493295.828715426,2168656.860384830
493295.723841957,2168656.820588210
493295.660923098,2168656.810652800
493295.702872319,2168656.826128820
493295.755315273,2168656.862625420
493295.765795739,2168656.848236310
493295.713349887,2168656.803993840
493295.671403565,2168656.796263690
493295.671423461,2168656.849378220
493295.755329781,2168656.901354770
493295.786792733,2168656.915728170
493295.723863926,2168656.879235500
493295.650460456,2168656.872623680
493295.639985378,2168656.901397980
493295.671452891,2168656.927943460
493295.755353821,2168656.965534830
493295.786805996,2168656.951137860
493295.755333097,2168656.910207190
493295.671446259,2168656.910238610
493295.650479108,2168656.922418550
493295.723868071,2168656.890301030
493295.807744962,2168656.863712340
493295.797262423,2168656.872568690
493295.713383461,2168656.893624610
493295.702893044,2168656.881456460
493295.734339832,2168656.852674310
493295.744817398,2168656.830539330
493295.734331542,2168656.830543250
